Date,Operator,Aboard,Fatalities
04/18/1973,Bakhtar Afghan Airlines,19,4
04/19/1973,Air Iowa,6,6
05/11/1973,Air Taxi,4,4
05/16/1973,Winship Air Service - Air Taxi,5,2
05/18/1973,Aeroflot,100,100
05/19/1973,Cambodia Air,11,11
05/29/1973,Air Gaspé,4,4
05/31/1973,Indian Airlines,65,48
06/01/1973,Cruzeiro,23,23
06/03/1973,Aeroflot,6,6
06/09/1973,Varig,4,2
06/20/1973,Aeromexico,27,27
06/30/1973,Aeroflot,84,5
07/11/1973,Varig,134,123
07/22/1973,Pan American World Airways,79,78
07/23/1973,Ozark Air Lines,44,38
07/24/1973,Air Hawaii,5,5
07/31/1973,Delta Air Lines,89,89
08/04/1973,Revilla Flying Service - Air Taxi,5,5
10/13/1973,Aeroflot,119,119
08/13/1973,Aviaco,85,85
08/15/1973,Private,10,10
08/18/1973,Aeroflot,64,56
08/22/1973,AVIANCA,17,16
08/27/1973,Aerovias Brasil,42,42
08/28/1973,Trans World Airlines,149,1
09/04/1973,Aegler Stuart Flying Service  / Private,5,4
09/08/1973,World Airways,6,6
09/09/1973,Wicks Flying Service - Air Taxi,4,4
09/11/1973,JAT Yugoslav Airlines,41,41
09/20/1973,Private Charter,6,6
09/24/1973,Dunlap Aviation - Air Taxi,2,2
09/25/1973,Lisa Jet Inc. - Air Taxi,3,3
09/27/1973,Texas International Airlines,11,11
09/30/1973,Aeronorte,9,9
09/30/1973,Aeroflot,108,108
10/02/1973,Aeroflot,10,10
10/04/1973,Taxi Aéreo Cesar Aguiar,8,8
10/23/1973,VASP,65,8
10/29/1973,CATA,4,4
10/31/1973,Jack N. Boswick - Air Taxi,7,2
11/02/1973,Lineas Aéreas La Urraca,16,6
11/03/1973,National Airlines,128,1
11/03/1973,Pan American World Airways,3,3
11/17/1973,Air Vietnam (South Vietnam),27,27
12/07/1973,Aeroflot,72,13
12/09/1973,Churchill Falls Co.,8,8
12/16/1973,Aeroflot,51,51
12/17/1973,Pan American World Airways,177,30
12/18/1973,Capitol Air Service - Air Taxi,2,2
12/21/1973,TAM (Bolivia),9,6
12/22/1973,Sobelair SA (Belgium),106,106
12/23/1973,Aeroflot,17,17
12/28/1973,Executive Funds,25,1
01/01/1974,Itavia,42,38
01/06/1974,Servicios Aéreos Boliviano,4,4
01/06/1974,Air East,17,12
01/06/1974,Aeroflot,24,24
01/10/1974,TAM (Bolivia),24,24
01/17/1974,Cessnyca,14,14
01/25/1974,Aeroflot,4,4
01/25/1974,Inland Aviation - Air Taxi,2,2
01/26/1974,Turkish Airlines (THY),73,66
01/27/1974,Taos Airways - Air Taxi,3,3
01/28/1974,Theif River Aviation - Air Taxi,4,4
01/30/1974,Pan American World Airways,101,96
02/02/1974,Pan American World Airways,298,1
02/10/1974,North Cay Air - Air Taxi,2,2
02/22/1974,Delta Air Lines,15,1
02/23/1974,SAVCO,7,7
03/03/1974,Turkish Airlines (THY),346,346
03/08/1974,Pathet Lao Airlines,18,18
03/11/1974,Executive Air - Air Taxi,4,4
03/13/1974,Sierra PacifiAirlines,36,36
03/15/1974,Sterling Airways,96,15
04/04/1974,Wenela Air Services,84,78
04/11/1974,Island Air,11,11
04/22/1974,Pan American World Airways,107,107
04/24/1974,Aeroflot,115,1
04/27/1974,Aeroflot,118,118
04/30/1974,Houston Metro Airlines,12,6
05/02/1974,Aero Taxis Equatorianos,24,22
05/06/1974,Fragtflug,3,3
05/23/1974,Saturn Airways,3,3
05/23/1974,Aeroflot,29,29
05/31/1974,Lambair,2,2
06/08/1974,Aerolineas TAO,44,44
06/27/1974,Cambodia Air,39,19
06/30/1974,Alaska Helicopter - Air Taxi,5,5
07/24/1974,Aeronorte Colombia,3,3
07/27/1974,Air Amercia,5,5
08/05/1974,Laurentian Air Services,11,5
08/11/1974,Air  Mali,60,47
08/12/1974,AVIANCA,27,27
08/13/1974,MerriAviation - Air Taxi,4,4
08/14/1974,Linea Aeropostal Venezolana,49,48
09/07/1974,Garuda Indonesia Airlines,39,35
09/08/1974,Trans World Airlines,88,88
09/11/1974,Eastern Air Lines,82,70
09/15/1974,Air Vietnam (South Vietnam),75,75
09/19/1974,Riverside Air,5,5
09/22/1974,Frontier Flying Service - Air Taxi,2,2
10/01/1974,Winship Air Service,6,6
10/02/1974,North Cay Airways,2,2
10/09/1974,Evergreen Helicopter - Air Taxi,3,3
10/10/1974,EgyptAir,6,6
10/17/1974,Webber Airlines -Air Taxi,8,5
10/19/1974,Mabuhay Airways,8,1
10/22/1974,Deming Flying Service - Air Taxi,2,2
10/24/1974,AltusFlying Service - Air Taxi,4,2
10/24/1974,Henry Nichols - Air Taxi,3,2
11/09/1975,Willow Air Service - Air Taxi,3,3
10/27/1974,Alaska International Air,4,4
10/28/1974,Hlavka Aviation - Air Taxi,2,2
10/30/1974,Pan ArctiOil,34,32
11/15/1974,Southeast Sky - Air Taxi,4,4
11/15/1974,Orient Air System and Integrated Services,8,1
11/20/1974,Ethiopian Airlines,24,2
11/20/1974,Lufthansa,157,59
11/22/1974,Alpa Servicios Aéreos,4,4
12/01/1974,Northwest Orient Airlines,3,3
12/01/1974,Trans World Airlines,92,92
12/04/1974,Martinair Holland NV,191,191
12/11/1974,Kodiak Airways,5,5
12/14/1974,Aeroflot,7,7
12/22/1974,Aerovias Venezolanas SA (Venezuela),77,77
12/26/1974,Harbor Airlines - Air Taxi,6,4
12/29/1974,Tarom,33,33
01/03/1975,Aeroflot,61,61
01/03/1975,Air America,9,9
01/05/1975,Richland Flying Service - Air Taxii,4,3
01/08/1975,SATENA,21,21
01/09/1975,Golden West Airlines / Private,14,14
01/13/1975,Channel Flying Service - Air Taxi,5,5
01/15/1975,Malev Hungarian Airlines,9,9
01/16/1975,Aeroflot,16,16
01/30/1975,Turkish Airlines (THY),42,42
01/30/1975,Linea Aérea Nacional,30,1
02/01/1975,Kenai Air Service - Air Taxi,2,2
02/01/1975,Horizon Properties,16,5
02/03/1975,Philippine Air Lines,33,32
02/16/1975,PacifiAlaska Airlines,3,3
02/22/1975,Aerocondor,5,5
02/27/1975,VASP,15,15
03/05/1975,Burlington Air - Air Taxi,4,2
03/12/1975,Air Vietnam (South Vietnam),26,26
03/18/1975,Sudan Airways,6,5
04/22/1975,Skips Air Service - Air Taxi,3,3
04/28/1975,Gay Airways - Air Taxi,4,2
05/03/1975,SATENA,6,3
05/10/1975,Air Express,2,2
05/12/1975,Foster Aviation,6,6
06/03/1975,Philippine Air Lines,64,1
06/17/1975,Varig,15,1
06/24/1975,Eastern Air Lines,124,113
06/26/1975,Hamilton Aviation,2,2
06/30/1975,Taxi Aereo El Venado,3,3
07/02/1975,Touraine Air Transport,8,8
07/10/1975,Aerovias Condor,4,2
07/10/1975,Homer Air Service - Air Taxi,2,2
07/15/1975,Oceanaire Helicopter - Air Taxi,4,4
07/15/1975,Aeroflot,41,41
07/31/1975,Far Eastern Air Transport,76,28
08/03/1975,Alia Royal Jordanian Airlines,188,188
08/07/1975,Continental Airlines,131,0
08/15/1975,Aeroflot,28,28
08/20/1975,Ceskoslovenske Aerolinie,128,126
08/25/1975,Portsmouth Aviation - Air Taxi,4,2
08/30/1975,Wien Air Alaska,32,10
09/01/1975,Interflug,34,26
09/11/1975,Ethiopian Airlines,9,1
09/24/1975,Garuda Indonesia Airlines,61,25
09/30/1975,Malev Hungarian Airlines,60,60
09/30/1975,Northern Thunderbird Air,7,7
09/30/1975,AVIANCA,4,4
10/23/1975,Connair,11,11
10/26/1975,Air Taxi,2,2
10/27/1975,TAM (Bolivia),67,67
10/30/1975,Inex Adria Aviopromet,120,75
11/03/1975,Petroleum Helicopter,9,9
11/07/1975,Quakertown Aviation - Air Taxi,4,4
11/18/1975,Aviateca,22,15
11/20/1975,Aeroflot,19,19
11/22/1975,Aeroflot,6,6
11/22/1975,Balkan Bulgarian Airlines,48,3
11/29/1975,Private,6,6
11/30/1975,SceniAirline - Air Taxi,2,2
12/21/1975,Philippine Aerotransport,9,9
12/26/1975,Star Aviation,9,9
01/01/1976,Middle East Airlines,82,82
01/03/1976,Aeroflot,61,61
01/03/1976,Winship Air,6,6
01/06/1976,Orlando Airways - Air Taxi,4,4
01/08/1976,Philippine Aerotransport,7,7
01/15/1976,Taxi Aereo el Venado,13,13
01/15/1976,Green Acres - Air Taxi,3,3
01/18/1976,Frigorifico Maniqui,10,7
01/20/1976,TAME,42,34
01/21/1976,CAAC,40,40
01/22/1976,Transbrasil,11,9
01/30/1976,Aeroflot,6,6
02/03/1976,Falcon Airways - Air Taxi,2,2
02/04/1976,LAC Colombia,3,3
09/02/1976,Temsco Helicopter - Air Taxi,4,3
02/08/1976,Mercer Airlines,6,3
02/09/1976,Aeroflot,24,24
02/21/1976,Antilles Air,11,5
03/01/1976,Tarom,9,6
03/02/1976,TAM (Bolivia),22,19
03/06/1976,Aeroflot,120,120
03/07/1976,Kodiak Western Alaska Airlines,4,4
03/07/1976,Sky Haven - Air Taxi,2,2
03/18/1976,Cubana de Aviacion,5,5
04/02/1976,SATENA,16,5
04/05/1976,Alaska Airlines,50,1
04/08/1976,North Sound Aviation,7,7
04/08/1976,Royal American - Air Taxi,2,2
04/14/1976,Yacimientos Petroliferos Fiscales,34,34
04/15/1976,Chartair - Air Taxi,6,6
04/23/1976,Petroleum Helicopter,12,12
04/27/1976,Frontier Flying Service - Air Taxi,5,5
04/27/1976,American Airlines,88,37
05/04/1976,de Havilland Aircraft,11,11
05/05/1976,Philippine Aerotransport,10,4
11/23/1976,OlympiAirways,50,50
05/15/1976,Aeroflot,52,52
05/18/1976,Lab Flying Service - Air Taxi,6,6
05/23/1976,Philippine Air Lines,87,14
06/01/1976,Aeroflot,46,46
06/04/1976,Air Manila,45,45
06/06/1976,Sabah Air,12,12
06/10/1976,Sky Chopper  - Air Taxi,2,2
06/27/1976,Air France,258,7
07/24/1976,Reed Aviation - Air Taxi,5,5
07/27/1976,Capitol Air Service - Air Taxi,3,2
07/28/1976,Ceskoslovenske Aerolinie,79,76
08/01/1976,Mamer - Shreck  - Air Taxi,4,3
08/02/1976,Korean Airlines,5,5
08/15/1976,SAETA,59,59
08/25/1976,Green River Aviation - Air Taxi,3,3
08/28/1976,Aeroperu,6,6
08/28/1976,Air France,20,1
09/03/1976,Austin Airways,10,10
09/09/1976,Aeroflot / Aeroflot,90,90
09/10/1976,Inex Adria Aviopromet / British Airways,176,176
09/19/1976,Turkish Airlines (THY),154,154
09/22/1976,Air West Airlines Ltd.,19,1
09/22/1976,Loma Linda University - Air Taxi,4,4
10/04/1976,Emirates Air Transport,4,4
10/06/1976,Cubana de Aviacion,73,73
10/09/1976,Aero National - Air Taxi,4,4
10/13/1976,Indian Airlines,95,95
10/13/1976,Lloyd Aéreo Boliviano,3,3
10/20/1976,Skyline Aviation - Air Taxi,4,4
10/25/1976,Taxi Aereo el Venado,32,32
10/28/1976,Nordeste Linhas Aéreas,6,2
11/04/1976,Bali International Air Service,38,29
11/05/1976,Inair Panama,2,2
11/12/1976,Aeroleasing - Air Taxi,5,5
11/23/1976,PacifiWestern Airlines,6,6
11/28/1976,Aeroflot,72,72
11/29/1976,Grand Canyon Air - Air Taxi,2,2
12/12/1976,AtlantiCity Airlines,10,3
12/17/1976,Aeroflot,55,48
12/25/1976,EgyptAir,53,53
12/28/1976,Valley Air Service - Air Taxi,6,6
12/31/1976,Faucett,19,19
01/06/1977,Jet Avia Charter,4,4
01/13/1977,Aeroflot,96,96
01/13/1977,Japan Air Lines,5,5
01/14/1977,Northern Thunderbird Air Ltd.,12,12
01/15/1977,Skyline Sweden,22,22
01/20/1977,North Canada Air,2,1
01/27/1977,Transportes Aéreos Itenez,6,6
02/11/1977,Ceskoslovenské Aerolinie,5,5
02/15/1977,Aeroflot,77,77
02/28/1977,Survair,10,4
03/01/1977,Alyemda,21,20
03/04/1977,Overseas National Airways,4,2
07/06/1977,Fleming International Airways,3,3
03/04/1977,Private,5,5
03/27/1977,Pan American World Airways / KLM,644,583
03/29/1977,Merpati Nusantara Airlines,23,15
03/30/1977,Aeroflot,27,8
04/04/1977,Southern Airways,85,62
04/10/1977,Taxi Aereo el Venado,35,35
04/27/1977,Aviateca,28,28
05/13/1977,LOT Polish Airlines,9,9
05/14/1977,IAS Cargo,6,6
05/16/1977,New  York Helicopter,25,4
05/27/1977,Aeroflot,70,68
05/31/1977,Intracostals - Air Taxi,3,3
06/20/1977,Fuerza Aérea Uruguaya,15,5
07/08/1977,Aeroflot,7,6
07/20/1977,Ethiopian Airlines,5,5
07/21/1977,Harold's Air Service,4,1
07/25/1977,Gaige Aviation - Air Taxi,5,5
08/01/1977,Private KNBC Los Angeles,2,2
08/07/1977,LADE,6,6
08/11/1977,Southwest Aviation - Air Taxi,4,4
08/12/1977,Rambar Aviation - Air Taxi,4,4
08/20/1977,Monarch Aviation,3,3
08/20/1977,Kenai Air Service - Air Taxi,3,3
08/25/1977,Island Airways,2,2
09/02/1977,Transmeridian Air Cargo,4,4
09/02/1977,Wright Air Service - Air Taxi,3,3
09/04/1977,Servicios Aereos Nacionales Airways,33,33
09/06/1977,Alaska Aeronautical Industries,13,13
09/08/1977,Burma Airways,19,19
09/12/1977,Safe Air Cargo,4,4
09/22/1977,Malev Hungarian Airlines,53,29
09/23/1977,Salida Flying Service - Air Taxi,6,6
09/27/1977,Japan Air Lines,79,34
10/01/1977,Kenmore Air  - Air Taxi,7,7
10/10/1977,Air Logistics,2,2
10/20/1977,L & J Company,26,6
11/03/1977,El Al,1,1
11/03/1977,Servicios Aereos Martinez Leon,13,13
11/19/1977,TAP (Air Portugal),164,131
11/19/1977,Ethiopian Airlines,5,5
11/21/1977,Munz Northern Airlines,2,2
11/21/1977,Austral Lineas Aeras (Argentina),79,46
11/29/1977,Resort Air Service - Air Taxi,2,2
12/02/1977,Balkan Bulgarian Airlines,165,59
12/04/1977,Malaysia Airlines,100,100
12/08/1977,Petroleum Helicopter,19,17
12/09/1977,Aeroflot,23,17
12/13/1977,"National Jet Services Inc.,  (Air Indiana)",29,29
12/14/1977,Straley Flying Service - Air Taxi,2,2
12/18/1977,SATA,57,36
12/18/1977,United Air Lines,3,3
12/19/1977,Vieques Air Link,10,5
12/21/1977,Kenn Borek Air,8,8
12/22/1977,Aviation Charter - Air Taxi,2,2
12/24/1977,Valley Air Service,10,10
12/29/1977,Servicios Aereos Nacionales,24,24
01/01/1978,Air India,213,213
01/06/1978,Aviation Charter - Air Taxi,2,2
01/24/1978,Henry Webber Air - Air Taxi,2,2
01/27/1978,SADELCA,14,14
01/31/1978,TABA,14,2
02/10/1978,Columbia PacifiAirlines,17,17
02/11/1978,PacifiWestern Airlines,49,42
02/18/1978,Chartair - Air Taxi,4,4
02/27/1978,Yute Air Alaska - Air Taxi,3,3
02/28/1978,Security Air,7,7
03/01/1978,Continental Airlines,200,2
03/01/1978,Island Air,6,2
03/02/1978,Nigeria Airways,18,18
03/03/1978,LAV - Linea Aeropostal Venezolana,47,47
03/07/1978,Hesler Noble - Air Taxi,2,2
03/14/1978,Wyman Pilot Service - Air Taxi,2,2
03/16/1978,Balkan Bulgarian Airlines,73,73
03/22/1978,Lake Havasu Air,6,6
03/25/1978,Burma Airways,48,48
03/26/1978,Aero Clube de Volta Redonda,4,4
04/04/1978,Air Logistics,6,3
04/05/1978,Antilles Air,9,2
04/20/1978,Korean Airlines,109,2
04/23/1978,Air Taxi,9,9
04/27/1978,South PacifiIsland Airways,10,10
04/29/1978,LAC Colombia,12,8
09/13/1978,Alaska Travel,6,6
05/08/1978,National Airlines,58,3
05/19/1978,Aeroflot,134,4
06/23/1978,Gander Aviation,10,10
06/26/1978,Air Canada,107,2
06/26/1978,Helikopter Service,18,18
07/24/1978,Amphibians,11,5
08/14/1978,Aeropeca,18,18
08/25/1978,Webber Air - Air Taxi,12,12
08/25/1978,Air Taxi,6,6
08/26/1978,Burma Airways,14,14
08/30/1978,Las Vegas Airlines,10,10
09/02/1978,Antillies Air - Air Taxi,11,4
09/03/1978,AirWest Airlines,13,11
09/03/1978,Air Guinee,17,15
09/03/1978,Air Rhodesia,56,38
09/09/1978,Air Taxi,6,6
09/09/1978,Lineas Areas del Centro,21,18
09/09/1978,Temesco Helicopter - Air Taxi,3,3
09/17/1978,Viking Air Service - Air Taxi,3,3
09/25/1978,Business Aircraft - Air Taxi,3,3
09/25/1978,PacifiSouthwest Airlines / Private,137,137
09/26/1978,Francisco Cruz,6,6
10/03/1978,Burma Airways,44,2
10/07/1978,Aeroflot,38,38
10/08/1978,Era Helicopter - Air Taxi,7,2
10/22/1978,Solomon Islands Airlines,11,11
10/23/1978,Aeroflot,26,26
10/24/1978,Don Zimmerman - Air Taxi,4,4
10/31/1978,Taxi Aéreo Kovacs,9,9
11/05/1978,Nile Delta Air Services,18,18
11/13/1978,Astrd Wing Aviaiton - Air Taxi,2,2
11/15/1978,Loftleidir IcelandiAirlines,262,183
11/16/1978,Festus Flying Service - Air Taxi,2,2
11/18/1978,Air Guadeloupe,20,15
11/21/1978,Taxi Aereo el Venado,27,27
11/25/1978,Tyee Airlines - Air Taxi,5,5
11/28/1978,Corporate Air - Air Taxi,3,3
12/04/1978,Rocky Mountain Airways,22,2
12/16/1978,Air 70,10,10
12/17/1978,Indian Airlines,132,1
12/19/1978,Galesburg Aviation - Air Taxi,2,2
12/21/1978,Chugiak Aviation - Air Taxi,7,2
12/23/1978,Alitalia,129,108
12/26/1978,Haïti Air Inter,10,10
12/28/1978,United Air Lines,189,10
01/11/1979,Nash and Tampo - Air Taxi,5,5
01/15/1979,Aeroflot,13,13
01/18/1979,Aeroflot,3,3
01/19/1979,L.J. Simmons - Air Taxi,6,4
01/24/1979,Air Algerie,23,14
01/27/1979,Air Rouergue,6,5
02/05/1979,Aeropol,3,3
02/08/1979,TAM Lineas Aéreas Regional,18,18
02/12/1979,Allegheny Airlines,25,2
02/12/1979,Air Rhodesia,59,59
02/17/1979,Air New Zealand,4,2
02/19/1979,Ethiopian Airlines,5,5
02/26/1979,Air Gabon,3,3
02/26/1979,Air Service - Air Taxi,3,3
03/01/1979,Universal Airways,8,8
03/02/1979,Agee Flying Service - Air Taxi,4,4
03/06/1979,Garuda Indonesia Airlines,4,4
03/10/1979,Swift Aire Lines Inc.,7,3
03/14/1979,Alia Royal Jordanian Airlines,64,45
03/14/1979,CAAC,12,12
03/17/1979,Aeroflot,106,86
03/20/1979,Aeroflot,29,29
03/22/1979,Aeroflot,5,4
03/22/1979,Village Aviation - Air Taxi,7,2
03/26/1979,Interflug,10,10
03/29/1979,Quebecair,24,17
04/12/1979,SW Air Rangers - Air Taxi,3,3
04/14/1979,Catalina Airlines,11,1
04/18/1979,New York Airways,18,3
04/23/1979,SAETA,57,57
04/25/1979,Aeroflot,4,4
05/25/1979,American Airlines,271,271
01/14/1980,Ambler Air Service,9,7
05/25/1979,Sea Airmotive,3,3
05/30/1979,Downeast Airlines,18,17
06/09/1979,Skystream Airlines,2,2
06/17/1979,Air New England,10,1
07/11/1979,Garuda Indonesia Airlines,61,61
07/12/1979,Soldotna Air Services,7,7
07/12/1979,Fiji Air Services,9,9
07/20/1979,Trans National Airlines,3,3
07/23/1979,Trans Mediterranean Airways,6,6
07/24/1979,Prinair,21,8
07/31/1979,Dan Air Services,47,17
08/02/1979,Private,3,1
08/03/1979,Aeroflot,14,14
08/04/1979,Indian Airlines,45,45
08/04/1979,Boise Air Service,6,6
08/09/1979,Southern Jersey Air - Air Taxi,3,3
08/11/1979,Bahri Aviation,5,5
08/11/1979,Aeroflot / Aeroflot,178,178
08/22/1979,SATENA,1,1
08/23/1979,Aeroflot,16,11
08/29/1979,Aeroflot,63,63
08/29/1979,Bradley Air Services,9,9
09/03/1979,Aeroflot,43,40
09/03/1979,Sterling Airways,10,10
09/11/1979,China Airlines (Taiwan),6,6
09/14/1979,Butler Aviation Inc.,12,12
09/14/1979,Aero Transporti Italiani,31,31
09/18/1979,PacifiCoastal Airlines,9,4
09/30/1979,West Coast Air,16,2
10/03/1979,Southeast Skyways - Air Taxi,3,3
10/08/1979,Comair,8,8
10/08/1979,Swissair,156,14
10/08/1979,Spernak Airway - Air Taxi,4,4
10/22/1979,Rhoadgs Aviation - Air Taxi,2,2
10/28/1979,Procurator Generale de la Republica,10,10
10/31/1979,Western Airlines,88,72
11/01/1979,Austin Airways,3,3
11/02/1979,Bankair Inc. - Air Taxi,7,5
11/12/1979,McKenzie Flying Service - Air Taxi,3,3
11/15/1979,American Airlines,78,0
11/16/1979,Aeroflot,5,3
11/18/1979,Transamerica Airlines,3,3
11/26/1979,Smithers Air Service,4,3
11/26/1979,Pakistan International Airlines,156,156
11/28/1979,Air New Zealand,257,257
11/30/1979,Aerolineas La Gaviola,9,9
12/03/1979,Evergreen Helicopter - Air Taxi,4,4
12/09/1979,Aeroflot,7,7
12/12/1979,CAMBA,11,10
12/19/1979,SATENA,19,19
12/22/1979,Fuerza Aérea del Peru,29,29
12/23/1979,Turkish Airlines (THY),45,41
12/23/1979,Douglas Airways,15,15
01/02/1980,Haïti Air Inter,9,9
01/11/1980,Private charter,2,2
01/21/1980,Iran National Airlines,128,128
01/23/1980,Pelita Air Service,13,13
02/03/1980,Cubana de Aviacon,37,1
02/21/1980,Advance Airlines,13,13
02/21/1980,Rotor Airs In- Air Taxi,7,6
02/27/1980,China Airlines (Taiwan),135,2
03/14/1980,LOT Polish Airlines,87,87
03/21/1980,Eagle Commuter,10,7
03/21/1980,VOTEC,14,14
03/24/1980,Tomahawk Airways,9,6
03/30/1980,VoteTaxi Aéreo,9,9
04/12/1980,Transbrasil,58,55
04/25/1980,Dan Air Services,146,146
04/27/1980,Thai Airways,53,44
05/13/1980,VoteTaxi Aéreo,7,7
05/13/1980,Cubana de Aviacion,3,3
12/21/1980,Transportes Aereos del Caribe,70,70
05/19/1980,Northeast Jet,2,2
05/28/1980,Spanish Air Force,11,11
06/02/1980,Lloyd Aereo Boliviano,13,13
06/08/1980,Lineas Aereas de Angola,29,29
06/12/1980,Air Wisconsin,15,13
06/12/1980,Aeroflot,29,29
06/15/1980,Aero PaLease - Air Taxi,2,2
06/27/1980,Itavia,81,81
07/07/1980,IMSS,13,13
07/07/1980,Aeroflot,166,166
07/12/1980,Ryan Air Services,8,8
07/21/1980,SceniAirlines,8,8
07/25/1980,Air Pennsylvania - Air Taxi,3,3
08/01/1980,Aeronaves del Peru,7,3
08/03/1980,Yute Air Alaska - Air Taxi,9,2
08/06/1980,Air Logistics,13,13
08/07/1980,Tarom,168,1
08/11/1980,Prospec,3,3
08/13/1980,Spantax,4,4
12/23/1980,Saudi Arabian Airlines,291,2
08/19/1980,Saudi Arabian Airlines,301,301
08/26/1980,Bouraq Indonesia Airlines,37,37
09/10/1980,Aeronorte Colombia,3,3
09/12/1980,Florida Commuter Airlines,34,34
09/22/1980,Flugfelag Austurlands,3,3
10/24/1980,Tampa Air Center - Air Taxi,3,3
11/04/1980,Fuerza Aérea Venezolana,11,11
11/17/1980,Provincial Air Services,4,4
11/19/1980,Korean Airlines,226,15
11/24/1980,F.R. de la Direccion General de Ados,20,20
11/28/1980,Central Air Services,2,2
12/05/1980,Tanzania Aviation,10,10
12/07/1980,Queen Airmotive - Air Taxi,4,4
12/12/1980,Penninsula Airways - Air Taxi,4,4
12/16/1980,Eagle Airways,2,2
08/27/1981,Aeropesca Colombia,50,50
01/20/1981,Cascade Airways,9,7
01/27/1981,Orcon Inc. - Air Taxi,3,2
02/10/1981,Walker - Watts Aviation - Air Taxi,4,4
02/11/1981,Private - Corporate,8,8
02/22/1981,Helicopter - Air Taxi,8,2
02/24/1981,VOTEC,14,11
02/25/1981,Berkshire Aviation - Air Taxi,3,2
03/02/1981,Air Chaparral - Air Taxi,2,2
03/26/1981,LOT Polish Airlines,52,1
03/27/1981,Galena Air Service - Air Taxi,4,4
04/01/1981,Talair,8,8
04/06/1981,Urcupina,7,7
04/07/1981,Freedom International,2,1
04/17/1981,Air US / Private,19,15
04/28/1981,Airfast Indonesia,17,15
05/07/1981,Austral Lineas Aeras (Argentina),31,31
05/16/1981,TAAG Angola Airlines,4,4
05/21/1981,Lineas Aereas,20,20
05/22/1981,TAME,18,18
05/28/1981,Shanair Inc. - Air Taxi,3,2
06/13/1981,Aeroflot,52,52
06/13/1981,Taiwan Airlines,2,2
06/17/1981,Taxi Aéreo el Venado,12,2
06/26/1981,Dan Air Services,3,3
06/30/1981,G & W Aviation,5,5
07/18/1981,TAR,4,4
07/20/1981,Somali Airlines,50,50
07/23/1981,Air Taxi,4,4
07/24/1981,Air Madagascar,19,19
07/25/1981,Transamazonica,9,4
07/27/1981,Aeromexico,66,30
08/11/1981,Skagway Air Service - Air Taxi,6,6
08/22/1981,Far Eastern Air Transport,110,110
08/29/1981,Aeroflot,34,3
09/02/1981,Taxi Aereo el Venado,22,21
10/01/1981,Sky Train Air,3,3
10/06/1981,NLM (Nederlandse Luchtvaart Maatschappij),17,17
10/15/1981,Oefag Flugdienst,9,9
10/26/1981,Aerolineas Argo,5,5
10/31/1981,Cameroon Airlines,24,1
11/08/1981,Aeromexico,18,18
11/15/1981,Moyer Aviation - Air Taxi,4,4
11/16/1981,Aeroflot,167,99
11/19/1981,Royal Nepal Airlines,10,10
11/30/1981,Guyana Airways,3,3
12/01/1981,Inex Adria Aviopromet (Yugoslavia),180,180
12/05/1981,Private - Parajump air show,12,11
12/10/1981,Spernak Airways - Air Taxi,4,4
12/15/1981,Hudson Air Service - Air Taxi,4,2
12/16/1981,Bristow Helicopters,12,12
12/18/1981,ACES Colombia,13,13
06/05/1983,Linair Express,9,7
12/31/1981,Sun West Airline - Air Taxi,6,4
01/07/1982,Aeroflot,18,18
01/07/1982,Air Taxi,2,2
01/13/1982,Air Florida,79,74
01/23/1982,World Airways,212,2
01/25/1982,Tarom,7,7
02/09/1982,Japan Air Lines,174,24
02/09/1982,Trans Air Services,32,3
02/19/1982,LAC Columbia,4,4
02/21/1982,Pilgrim Airlines,12,1
03/11/1982,Wideroe's Flyveselksap,15,15
06/24/1982,British Airways,257,0
06/28/1982,Aeroflot,132,132
03/19/1982,Private,3,3
03/20/1982,Garuda Indonesia Airlines,27,27
03/26/1982,Aeropesca Colombia,21,21
04/11/1982,Air Taxi,3,3
04/26/1982,CAAC,112,112
04/28/1982,Air Taxi,2,2
04/30/1982,Okanagan Helicopters,13,13
05/09/1982,Alyemda,49,47
05/25/1982,VASP,118,2
05/28/1982,Pelita Air Service,10,10
06/08/1982,VASP,137,137
06/12/1982,TABA,44,44
06/22/1982,Air India,111,17
07/03/1982,Air Affaires Gabon,12,12
07/06/1982,Aeroflot,90,90
07/09/1982,Pan American World Airways,145,145
07/11/1982,Philippine Air Lines,30,4
07/14/1982,Air Taxi,4,4
07/23/1982,Western Helicopter,1,0
07/24/1982,Air Taxi,4,4
08/04/1982,Air Taxi,2,2
08/11/1982,Pan American World Airways,1,1
08/12/1982,Burma Airways,8,8
08/14/1982,Aeroflot / Aeroflot,11,11
08/20/1982,Inter Island Air Services,10,10
09/01/1982,Aerolineas Condor,44,44
09/04/1982,Cia Brasiliera de Tratores,10,10
09/13/1982,Spantax,394,50
09/17/1982,Air Taxi,5,4
09/18/1982,Central Mountain Air Services,5,5
09/21/1982,Air Taxi,6,4
09/29/1982,Aeroflot,77,7
10/20/1982,Air Taxi,8,8
11/17/1982,Far Eastern Air Transport,15,15
11/23/1982,Air Taxi,2,2
11/29/1982,TAAG Angola Airlines,15,15
11/30/1982,Aerolineas Centrales de Colombia,22,22
12/01/1982,Air Taxi - Basco Flying Service Inc.,5,3
12/07/1982,Pioneer Airlines,2,2
12/09/1982,Air Taxi - Tyee Airlines Inc.,8,8
12/09/1982,Aeronor Chile,46,46
