Date,Operator,Aboard,Fatalities
08/16/1954,Air Vietnam (South Vietnam),55,47
08/22/1954,Braniff Airlines,19,12
08/23/1954,KLM Royal Dutch Airlines,21,21
05/16/1958,British European Airways,3,3
09/05/1954,KLM Royal Dutch Airlines,56,28
09/12/1954,Cruzeiro,30,6
09/15/1954,Misrair,4,3
10/31/1954,TAA,8,3
11/16/1954,TAM (Brazil),24,24
11/30/1954,Northeast Airlines,7,2
12/04/1954,Air Laos,28,28
12/12/1954,Ceskoslovenské Aerolinie,4,4
12/18/1954,Linea Aeropostal Venezolana,2,2
12/18/1954,Linee Aeree Italiane,32,26
12/22/1954,Johnson Flying Service,28,10
12/25/1954,British Overseas Airways,36,28
12/29/1954,Aeroflot,45,45
12/31/1954,Aeroflot,17,17
01/12/1955,Trans World Airlines / Castleton Inc.,15,15
01/19/1955,United Air Lines,39,0
01/31/1955,Interamericana de Aviacion,5,5
02/02/1955,Indian Airlines,10,10
02/05/1955,West African Airways,13,13
02/13/1955,Sabena,29,29
02/19/1955,Trans World Airlines,16,16
02/23/1955,Central African Airways,26,1
03/06/1955,REAL,21,5
03/08/1955,Mexicana,26,26
03/09/1955,AVIANCA,8,8
03/20/1955,American Airlines,35,13
03/26/1955,Pan American World Airways,23,4
04/02/1955,Aaxico Airlines,2,2
04/04/1955,United Air Lines,3,3
04/11/1955,Air India,19,19
04/18/1955,Union des Transportes Aeriens,14,12
05/18/1955,East African Airways,20,20
05/21/1955,Linea Aeropostal Venezolana,13,4
05/26/1955,Associated Airways,2,2
06/03/1955,Union Aéromaritime de Transport,3,3
06/16/1955,Panair do Brasil,24,16
06/18/1955,Tigres Voladores,18,18
07/14/1955,Lineas Areas Unidas,22,22
07/17/1955,Braniff Airlines,43,22
07/27/1955,El Al,58,58
08/04/1955,American Airlines,30,30
08/06/1955,Aeroflot,25,25
08/26/1955,Cruzeiro,13,13
08/30/1955,Kalinga Airlines,3,2
09/02/1955,Union of Burma Airways,9,9
09/08/1955,Currey Air Transport,33,3
09/10/1955,Societe France Hydro,16,16
09/17/1955,PacifiWestern Airlines,6,2
09/21/1955,British Overseas Airways,47,15
09/24/1955,Flying Tiger Line,5,3
10/02/1955,Faucett,35,19
10/06/1955,United Air Lines,66,66
10/10/1955,JAT Yugoslav Airlines,29,7
11/01/1955,United Air Lines,44,44
11/17/1955,Peninsular,74,28
12/01/1955,Cruzeiro,6,6
12/17/1955,Riddle Airlines,2,2
12/19/1955,Cruzeiro Do Sud,26,26
12/21/1955,Eastern Air Lines,17,17
01/12/1956,Ansett ANA,2,1
01/17/1956,Quebecair,18,4
01/18/1956,Ceskoslovenske Aerolinie,26,22
01/28/1956,Air France,3,3
02/13/1956,Maritime Central Airways,2,2
02/14/1956,Spartan Air Services,3,2
02/18/1956,Scottish Airlines,50,50
02/20/1956,Transport Aerien Intercontinentaux (France),64,52
02/24/1956,Syrian Airways,19,19
02/25/1956,Pakistan International Airlines,3,3
03/21/1956,Indian Airlines,21,2
03/28/1956,Starways,3,1
03/31/1956,National Air Operators,3,3
04/01/1956,Trans World Airlines,36,22
04/02/1956,Northwest Orient Airlines,38,5
04/09/1956,Cordova Airlines,6,6
04/18/1956,Panair do Brasil,12,3
04/30/1956,Scottish Airlines,54,2
05/15/1956,Indian Airlines,33,14
05/24/1956,Aviateca,31,30
06/20/1956,Linea Aeropostal Venezolana,74,74
06/24/1956,British Overseas Airways,45,32
06/30/1956,United Air Lines / Trans World Airlines,128,128
07/09/1956,Trans Canada Air Lines,35,1
07/16/1956,Aerolineas Argentinas,18,18
08/08/1956,Union of Burma Airways,20,12
08/29/1956,Canadian PacifiAir Lines,22,15
09/09/1956,Jordan International Airlines,57,1
09/09/1956,Continental Airlines,18,0
10/02/1956,Alaska Airlines,5,5
10/16/1956,Pan American World Airways,31,0
10/19/1956,Indian Airlines,3,3
11/05/1956,Britavia,80,5
11/07/1956,Braathens,12,2
11/15/1956,Aerovias Guest,25,25
10/18/1957,Varig,2,2
11/17/1956,Empresa Aviacion del Pacifico,36,36
11/24/1956,Ceskoslovenske Aerolinie,23,23
11/24/1956,Linee Aeree Italiane,35,34
11/27/1956,Linea Aeropostal Venezolana,25,25
12/08/1956,AIDA,16,14
12/09/1956,Trans Canada Air Lines,62,62
12/12/1956,Air France,5,5
12/22/1956,JAT Yugoslav Airlines,30,3
12/22/1956,Linee Aeree Italiane,21,21
